time,Azimuth,Pitch,Roll
0.0213,-103.665,-0.656,-101.744
0.064793,-103.484,-0.867,-101.194
0.065144,-103.484,-0.867,-101.194
0.22178,-102.714,-0.867,-101.194
0.266554,-102.706,-0.906,-101.032
0.266762,-102.706,-0.906,-101.032
0.419518,-103.288,-0.906,-101.032
0.468943,-104.083,-0.811,-99.959
0.469194,-104.083,-0.811,-99.959
0.617981,-102.769,-0.811,-99.959
0.671218,-103.026,-0.633,-100.26
0.671484,-103.026,-0.633,-100.26
0.816597,-104.948,-0.633,-100.26
0.873876,-104.624,-0.773,-100.288
0.874101,-104.624,-0.773,-100.288
1.015532,-107.213,-0.773,-100.288
1.075749,-107.213,-0.773,-100.288
1.076191,-102.494,-2.093,-103.881
1.2141,-104.122,-2.093,-103.881
1.278227,-104.094,-1.55,-106.221
1.278443,-104.094,-1.55,-106.221
1.412525,-105.185,-1.55,-106.221
1.481522,-103.52,-2.269,-106.257
1.481917,-103.52,-2.269,-106.257
1.613285,-104.256,-2.269,-106.257
1.685823,-105.078,-2.01,-105.808
1.686249,-105.078,-2.01,-105.808
1.812011,-103.704,-2.01,-105.808
1.886947,-105.37,-1.521,-104.615
1.887331,-105.37,-1.521,-104.615
2.011021,-102.994,-1.521,-104.615
2.090234,-102.994,-1.521,-104.615
2.091401,-105.04,-1.074,-102.486
2.208137,-104.132,-1.074,-102.486
2.292527,-104.576,-1.147,-101.368
2.292988,-104.576,-1.147,-101.368
2.406678,-104.183,-1.147,-101.368
2.493583,-104.86,-1.15,-100.066
2.493986,-104.86,-1.15,-100.066
2.605231,-104.37,-1.15,-100.066
2.696988,-102.835,-1.277,-102.373
2.697476,-102.835,-1.277,-102.373
2.804066,-108.862,-1.277,-102.373
2.898229,-101.618,-2.319,-110.382
2.898659,-101.618,-2.319,-110.382
3.003417,-103.215,-2.319,-110.382
3.101917,-101.686,-2.484,-112.902
3.102343,-101.686,-2.484,-112.902
3.20459,-103.341,-2.484,-112.902
3.303385,-102.497,-2.806,-113.167
3.303798,-102.497,-2.806,-113.167
3.400229,-102.795,-2.806,-113.167
3.507003,-104.034,-2.48,-112.106
3.507411,-104.034,-2.48,-112.106
3.600077,-103.632,-2.48,-112.106
3.707854,-105.053,-2.324,-110.096
3.708264,-105.053,-2.324,-110.096
3.796794,-103.243,-2.324,-110.096
3.909734,-104.378,-2.118,-108.83
3.910095,-104.378,-2.118,-108.83
3.995572,-103.58,-2.118,-108.83
4.111882,-103.58,-2.118,-108.83
4.11257,-105.267,-1.866,-106.899
4.194704,-103.068,-1.866,-106.899
4.314655,-105.782,-1.175,-104.842
4.31507,-105.782,-1.175,-104.842
4.392855,-104.111,-1.175,-104.842
4.518598,-105.122,-1.146,-103.169
4.519066,-105.122,-1.146,-103.169
4.592669,-103.635,-1.146,-103.169
4.721216,-105.458,-0.777,-101.375
4.721781,-105.458,-0.777,-101.375
4.791239,-103.621,-0.777,-101.375
4.923169,-103.621,-0.777,-101.375
4.924117,-104.41,-0.648,-100.408
4.990062,-103.303,-0.648,-100.408
5.126108,-103.303,-0.648,-100.408
5.127045,-103.765,-0.642,-99.538
5.18756,-103.009,-0.642,-99.538
5.327075,-103.188,-0.782,-98.559
5.327473,-103.188,-0.782,-98.559
5.387211,-102.825,-0.782,-98.559
5.529202,-102.328,-0.952,-98.816
5.529583,-102.328,-0.952,-98.816
5.58627,-104.165,-0.952,-98.816
5.732927,-104.165,-0.952,-98.816
5.733805,-103.129,-0.992,-100.699
5.784047,-104.452,-0.992,-100.699
5.934873,-103.518,-1.3,-101.189
5.935474,-103.518,-1.3,-101.189
5.983328,-103.351,-1.3,-101.189
6.137132,-102.81,-1.437,-101.699
6.13772,-102.81,-1.437,-101.699
6.182558,-102.923,-1.437,-101.699
6.339368,-102.889,-1.39,-101.987
6.339769,-102.889,-1.39,-101.987
6.380027,-102.833,-1.39,-101.987
6.542173,-102.861,-1.428,-101.752
6.542656,-102.861,-1.428,-101.752
6.579671,-102.829,-1.428,-101.752
6.744125,-102.829,-1.428,-101.752
6.74517,-103.637,-1.287,-100.769
6.776965,-103.468,-1.287,-100.769
6.947355,-103.909,-1.309,-99.83
6.947893,-103.909,-1.309,-99.83
6.975849,-103.814,-1.309,-99.83
7.149136,-103.814,-1.309,-99.83
7.150105,-104.994,-1,-98.895
7.174278,-103.039,-1,-98.895
7.349911,-103.548,-0.993,-97.907
7.350214,-103.548,-0.993,-97.907
7.371729,-102.128,-0.993,-97.907
7.552862,-103.308,-0.73,-96.699
7.553282,-103.308,-0.73,-96.699
