time,Azimuth:,Pitch:,Roll:
0.07909,-98.619,-1.119,-90.825
0.079195,-98.619,-1.119,-90.825
0.099401,-98.767,-1.119,-90.825
0.280878,-98.767,-1.119,-90.825
0.281177,-98.67,-1.201,-90.548
0.298667,-99.324,-1.201,-90.548
0.484209,-99.278,-1.175,-90.837
0.484307,-99.278,-1.175,-90.837
0.498655,-98.763,-1.175,-90.837
0.686417,-97.88,-1.528,-91.018
0.686607,-97.88,-1.528,-91.018
0.699418,-100.085,-1.528,-91.018
0.888582,-99.922,-1.532,-91.427
0.888732,-99.922,-1.532,-91.427
0.898726,-98.961,-1.532,-91.427
1.090866,-99.304,-1.409,-91.255
1.090987,-99.304,-1.409,-91.255
1.098818,-99.212,-1.409,-91.255
1.293223,-98.991,-1.448,-91.614
1.293377,-98.991,-1.448,-91.614
1.298901,-98.872,-1.448,-91.614
1.496107,-99.554,-1.096,-92
1.49634,-99.554,-1.096,-92
1.500402,-99.8,-1.096,-92
1.699047,-99.846,-1.149,-91.558
1.699237,-99.846,-1.149,-91.558
1.699469,-98.72,-1.149,-91.558
1.901621,-98.214,-1.149,-91.558
1.901942,-98.352,-1.097,-91.498
1.902105,-98.352,-1.097,-91.498
2.100629,-99.938,-1.097,-91.498
2.10279,-100.448,-1.02,-90.676
2.103171,-100.448,-1.02,-90.676
2.302367,-100.285,-1.02,-90.676
2.306838,-100.427,-1.129,-89.694
2.307149,-100.427,-1.129,-89.694
2.502379,-99.008,-1.129,-89.694
2.507786,-99.546,-1.049,-88.677
2.508026,-99.546,-1.049,-88.677
2.702575,-100.252,-1.049,-88.677
2.710486,-100.653,-0.99,-87.994
2.710839,-100.653,-0.99,-87.994
2.903571,-100.024,-0.99,-87.994
2.913669,-100.565,-0.997,-86.566
2.914008,-100.565,-0.997,-86.566
3.10441,-98.827,-0.997,-86.566
3.117942,-99.701,-0.768,-85.502
3.118141,-99.701,-0.768,-85.502
3.301719,-98.978,-0.768,-85.502
3.321653,-99.234,-0.864,-84.145
3.322255,-99.234,-0.864,-84.145
3.504966,-99.217,-0.864,-84.145
3.524107,-99.831,-0.68,-83.578
3.524316,-99.831,-0.68,-83.578
3.703295,-98.84,-0.68,-83.578
3.725333,-99.869,-0.424,-82.3
3.725529,-99.869,-0.424,-82.3
3.903344,-99.154,-0.424,-82.3
3.925164,-99.154,-0.424,-82.3
3.925706,-99.282,-0.547,-81.173
4.102104,-99.887,-0.547,-81.173
4.128083,-99.887,-0.547,-81.173
4.129382,-100.456,-0.422,-80.451
4.30389,-99.332,-0.422,-80.451
4.331742,-98.862,-0.81,-79.304
4.332038,-98.862,-0.81,-79.304
4.504847,-98.761,-0.81,-79.304
4.533576,-98.761,-0.81,-79.304
4.534199,-99.248,-0.766,-78.163
4.701915,-99.313,-0.766,-78.163
