time,Azimuth,Pitch,Roll
11.008238,-98.385,0.45,-74.176
11.008856,-98.648,0.449,-73.342
11.009039,-98.648,0.449,-73.342
11.207058,-98.351,0.449,-73.342
11.211241,-98.145,0.172,-72.145
11.211395,-98.145,0.172,-72.145
11.406141,-96.914,0.172,-72.145
11.415431,-97.134,0.137,-71.021
11.415602,-97.134,0.137,-71.021
11.603108,-98.774,0.137,-71.021
11.616871,-98.914,0.049,-70.04
11.617045,-98.914,0.049,-70.04
11.803081,-98.671,0.049,-70.04
11.819872,-98.58,-0.166,-68.906
11.82006,-98.58,-0.166,-68.906
12.001926,-98.176,-0.166,-68.906
12.021875,-98.227,-0.325,-67.609
12.02217,-98.227,-0.325,-67.609
12.201374,-98.204,-0.325,-67.609
12.224431,-98.539,-0.324,-66.495
12.224619,-98.539,-0.324,-66.495
12.398111,-97.741,-0.324,-66.495
12.426481,-97.741,-0.324,-66.495
12.427161,-97.997,-0.345,-65.42
12.597101,-96.94,-0.345,-65.42
12.628995,-97.576,-0.207,-64.059
12.629252,-97.576,-0.207,-64.059
12.796248,-98.102,-0.207,-64.059
12.832968,-97.837,-0.432,-63.353
12.833229,-97.837,-0.432,-63.353
12.993621,-98.345,-0.432,-63.353
13.033481,-98.189,-0.675,-62.162
13.033612,-98.189,-0.675,-62.162
13.191674,-96.132,-0.675,-62.162
13.235739,-96.866,-0.405,-61.56
13.235801,-96.866,-0.405,-61.56
13.390626,-96.984,-0.405,-61.56
13.438323,-97.48,-0.219,-61.189
13.438509,-97.48,-0.219,-61.189
13.590535,-96.43,-0.219,-61.189
13.64236,-97.13,0.028,-60.4
13.642619,-97.13,0.028,-60.4
13.789798,-97.153,0.028,-60.4
13.844004,-97.153,0.028,-60.4
13.844727,-96.814,-0.238,-59.56
13.986586,-95.883,-0.238,-59.56
14.04641,-95.946,-0.272,-58.935
14.046657,-95.946,-0.272,-58.935
14.187375,-95.953,-0.272,-58.935
14.248059,-95.953,-0.272,-58.935
14.248801,-96.338,-0.174,-58.103
14.385156,-96.053,-0.174,-58.103
14.450814,-96.053,-0.174,-58.103
14.451517,-96.146,-0.179,-57.632
14.583133,-94.77,-0.179,-57.632
14.653371,-95.054,-0.098,-56.99
14.653608,-95.054,-0.098,-56.99
14.780699,-95.867,-0.098,-56.99
14.85572,-95.867,-0.098,-56.99
14.856404,-95.903,-0.13,-56.509
14.979869,-95.623,-0.13,-56.509
15.058328,-95.703,-0.151,-55.907
15.058539,-95.703,-0.151,-55.907
15.179949,-95.686,-0.151,-55.907
15.261291,-95.686,-0.151,-55.907
15.261942,-95.685,-0.211,-55.297
15.37774,-95.278,-0.211,-55.297
15.463008,-95.278,-0.211,-55.297
15.463697,-95.285,-0.28,-54.5
15.576769,-94.571,-0.28,-54.5
15.666344,-93.772,-0.686,-54.177
15.666604,-93.772,-0.686,-54.177
15.77623,-94.74,-0.686,-54.177
15.868442,-95.583,-0.375,-53.112
15.868913,-95.583,-0.375,-53.112
15.974375,-94.954,-0.375,-53.112
