time,Azimuth,Pitch,Roll
0.042388,-106.695,-0.71,-85.834
0.118864,-107.091,-0.169,-87.027
0.119241,-107.091,-0.169,-87.027
0.240963,-107.011,-0.169,-87.027
0.320764,-105.887,-0.655,-87.158
0.320973,-105.887,-0.655,-87.158
0.440072,-106.301,-0.655,-87.158
0.523247,-107.085,-0.214,-87.44
0.523488,-107.085,-0.214,-87.44
0.638911,-107.13,-0.214,-87.44
0.725663,-105.91,-0.502,-88.341
0.725818,-105.91,-0.502,-88.341
0.837526,-105.96,-0.502,-88.341
0.927659,-105.936,-0.403,-88.728
0.927911,-105.936,-0.403,-88.728
1.036685,-108.036,-0.403,-88.728
1.130062,-106.507,-0.493,-90.661
1.130309,-106.507,-0.493,-90.661
1.235958,-107.691,-0.493,-90.661
1.332271,-106.112,-0.418,-93.272
1.332521,-106.112,-0.418,-93.272
1.439062,-105.813,-0.418,-93.272
1.535646,-105.847,-0.533,-92.804
1.536097,-105.847,-0.533,-92.804
1.635201,-107.259,-0.533,-92.804
1.738792,-107.572,-0.382,-92.821
1.739255,-107.572,-0.382,-92.821
1.833801,-106.764,-0.382,-92.821
1.940771,-106.526,-0.467,-92.904
1.94121,-106.526,-0.467,-92.904
2.03319,-106.978,-0.467,-92.904
2.14314,-106.383,-0.694,-93.054
2.143488,-106.383,-0.694,-93.054
2.230019,-105.765,-0.694,-93.054
2.346557,-106.622,-1.028,-90.509
2.346914,-106.622,-1.028,-90.509
2.429246,-106.18,-1.028,-90.509
2.548213,-108.6,-1.18,-86.403
2.548658,-108.6,-1.18,-86.403
2.629325,-106.78,-1.18,-86.403
2.749667,-107.411,-1.583,-84.086
2.750049,-107.411,-1.583,-84.086
2.826812,-105.501,-1.583,-84.086
2.95279,-105.501,-1.583,-84.086
2.953649,-107.257,-0.967,-83.445
3.025388,-107.802,-0.967,-83.445
3.154335,-107.315,-1.382,-82.832
3.156512,-107.315,-1.382,-82.832
3.224438,-105.867,-1.382,-82.832
3.357638,-106.009,-1.636,-81.663
3.358005,-106.009,-1.636,-81.663
3.423689,-106.324,-1.636,-81.663
3.560954,-106.324,-1.636,-81.663
3.561932,-106.41,-1.757,-81.093
3.622227,-105.584,-1.757,-81.093
3.763428,-106.454,-1.75,-79.644
3.763874,-106.454,-1.75,-79.644
3.822773,-105.575,-1.75,-79.644
3.964071,-106.634,-1.471,-78.86
3.964454,-106.634,-1.471,-78.86
4.019658,-106.287,-1.471,-78.86
4.16827,-106.287,-1.471,-78.86
4.169329,-106.987,-1.407,-77.971
4.219438,-105.866,-1.407,-77.971
4.368892,-105.768,-1.662,-77.198
4.369338,-105.768,-1.662,-77.198
4.419132,-105.966,-1.662,-77.198
4.572149,-105.966,-1.662,-77.198
4.573172,-106.538,-1.676,-76.197
4.617616,-104.733,-1.676,-76.197
4.774307,-104.733,-1.676,-76.197
4.775521,-105.115,-1.72,-75.324
4.815654,-104.5,-1.72,-75.324
4.977496,-105.573,-1.533,-74.151
4.977912,-105.573,-1.533,-74.151
5.015606,-104.795,-1.533,-74.151
5.17942,-104.795,-1.533,-74.151
5.180283,-105.435,-1.452,-73.322
5.213749,-105.266,-1.452,-73.322
5.381121,-105.353,-1.543,-72.821
5.381617,-105.353,-1.543,-72.821
5.411723,-104.255,-1.543,-72.821
5.584335,-104.255,-1.543,-72.821
5.585418,-104.656,-1.521,-72.144
5.61197,-103.812,-1.521,-72.144
5.787382,-103.812,-1.521,-72.144
5.788377,-104.313,-1.474,-71.372
5.810949,-104.259,-1.474,-71.372
5.988465,-104.668,-1.421,-70.811
5.988927,-104.668,-1.421,-70.811
6.008215,-104,-1.421,-70.811
6.190984,-104,-1.421,-70.811
6.192161,-104.233,-1.478,-70.126
6.206972,-104.044,-1.478,-70.126
6.393826,-104.397,-1.395,-69.804
6.394328,-104.397,-1.395,-69.804
6.406646,-105.235,-1.395,-69.804
6.596876,-104.435,-1.137,-72.365
6.597301,-104.435,-1.137,-72.365
6.605803,-104.57,-1.137,-72.365
6.798559,-102.275,-1.028,-78.008
6.799028,-102.275,-1.028,-78.008
6.803352,-104.263,-1.028,-78.008
7.000741,-104.263,-1.028,-78.008
7.001696,-102.865,-0.975,-81.15
7.002161,-104.621,-0.975,-81.15
7.202498,-104.18,-1.066,-81.622
7.202987,-104.686,-1.066,-81.622
7.203295,-104.686,-1.066,-81.622
7.402206,-104.463,-1.066,-81.622
7.403836,-104.876,-0.964,-81.268
7.404219,-104.876,-0.964,-81.268
7.600865,-104.665,-0.964,-81.268
7.607443,-104.476,-1.147,-80.897
7.607959,-104.476,-1.147,-80.897
7.799684,-102.897,-1.147,-80.897
7.808605,-103.255,-1.106,-80.342
7.809042,-103.255,-1.106,-80.342
7.999183,-104.944,-1.106,-80.342
8.012809,-105.044,-1.235,-79.654
8.013322,-105.044,-1.235,-79.654
8.197933,-102.603,-1.235,-79.654
8.214305,-103.148,-1.248,-78.413
8.214736,-103.148,-1.248,-78.413
8.39869,-103.778,-1.248,-78.413
8.416783,-104.075,-1.393,-77.208
8.417186,-104.075,-1.393,-77.208
8.594662,-104.601,-1.393,-77.208
8.619575,-104.959,-1.506,-76.053
8.620183,-104.959,-1.506,-76.053
8.792606,-104.352,-1.506,-76.053
8.821055,-104.884,-1.587,-74.703
