time,Azimuth:,Pitch:,Roll:
0.048873,-111.253,-7.859,105.966
0.086368,-111.475,-7.823,106.207
0.086687,-111.475,-7.823,106.207
0.248240,-110.484,-7.823,106.207
0.288369,-110.775,-7.853,106.771
0.288607,-110.775,-7.853,106.771
0.445862,-112.168,-7.853,106.771
0.491025,-112.346,-7.624,106.354
0.491219,-112.346,-7.624,106.354
0.644350,-110.801,-7.624,106.354
0.694110,-111.501,-7.359,106.625
0.694282,-111.501,-7.359,106.625
0.842897,-111.239,-7.359,106.625
0.896312,-112.312,-7.076,107.391
0.896516,-112.312,-7.076,107.391
1.041468,-112.230,-7.076,107.391
1.098809,-113.028,-7.196,108.884
1.099022,-113.028,-7.196,108.884
1.239954,-110.654,-7.196,108.884
1.301413,-112.611,-7.279,112.203
1.301613,-112.611,-7.279,112.203
1.439413,-110.392,-7.279,112.203
1.503695,-113.089,-7.265,116.273
1.504041,-113.089,-7.265,116.273
1.637018,-110.175,-7.265,116.273
1.706253,-112.110,-7.288,119.341
1.706561,-112.110,-7.288,119.341
1.835670,-110.372,-7.288,119.341
1.909705,-112.522,-7.172,122.234
1.910048,-112.522,-7.172,122.234
2.034989,-110.106,-7.172,122.234
2.111955,-110.106,-7.172,122.234
2.112794,-113.056,-6.911,125.822
2.233275,-110.046,-6.911,125.822
2.314513,-111.848,-6.864,128.368
2.314849,-111.848,-6.864,128.368
2.432232,-108.483,-6.864,128.368
2.516254,-110.356,-6.662,130.722
2.516588,-110.356,-6.662,130.722
2.631585,-108.735,-6.662,130.722
2.718744,-110.668,-6.572,133.477
2.719067,-110.668,-6.572,133.477
2.829530,-109.217,-6.572,133.477
2.921223,-111.016,-6.440,135.816
2.921611,-111.016,-6.440,135.816
3.026676,-109.135,-6.440,135.816
3.123956,-109.135,-6.440,135.816
3.125029,-111.117,-6.262,138.252
3.226655,-109.391,-6.262,138.252
3.326509,-111.497,-6.130,140.979
3.326840,-111.497,-6.130,140.979
3.424861,-110.354,-6.130,140.979
3.527904,-110.354,-6.130,140.979
3.528683,-110.870,-6.408,142.604
3.623808,-109.663,-6.408,142.604
3.730596,-109.663,-6.408,142.604
3.731438,-111.008,-6.394,144.603
3.822197,-110.218,-6.394,144.603
3.933216,-112.084,-6.251,146.830
3.933682,-112.084,-6.251,146.830
4.018727,-109.904,-6.251,146.830
4.135321,-110.842,-6.193,148.034
4.135694,-110.842,-6.193,148.034
4.218848,-110.669,-6.193,148.034
4.338393,-111.669,-6.046,149.007
4.338710,-111.669,-6.046,149.007
4.417610,-110.686,-6.046,149.007
4.540374,-110.686,-6.046,149.007
4.541137,-111.428,-6.112,150.261
4.616765,-110.110,-6.112,150.261
4.742355,-110.110,-6.112,150.261
4.743094,-111.056,-5.935,151.086
4.814851,-109.906,-5.935,151.086
4.946301,-110.573,-5.986,152.234
4.946667,-110.573,-5.986,152.234
5.011635,-109.577,-5.986,152.234
5.147712,-109.577,-5.986,152.234
5.148573,-110.720,-5.940,153.767
5.211653,-108.852,-5.940,153.767
5.350846,-109.728,-5.928,155.061
5.351199,-109.728,-5.928,155.061
5.410151,-110.083,-5.928,155.061
5.551436,-110.083,-5.928,155.061
5.552211,-111.066,-5.839,156.189
5.607528,-109.273,-5.839,156.189
