time,Azimuth,Pitch,Roll
0.062771,-111.104,-0.881,-108.272
0.182909,-111.303,-1.066,-107.555
0.183287,-111.303,-1.066,-107.555
0.263262,-110.89,-1.066,-107.555
0.385496,-109.391,-1.712,-107.587
0.385745,-109.391,-1.712,-107.587
0.460926,-109.925,-1.712,-107.587
0.586995,-109.907,-1.662,-107.753
0.587199,-109.907,-1.662,-107.753
0.659273,-110.458,-1.662,-107.753
0.789319,-109.879,-1.683,-108.426
0.789546,-109.879,-1.683,-108.426
0.858254,-111.005,-1.683,-108.426
0.992109,-109.831,-2.036,-108.926
0.99229,-109.831,-2.036,-108.926
1.057408,-109.777,-2.036,-108.926
1.195863,-107.908,-2.44,-110.212
1.196084,-107.908,-2.44,-110.212
1.255702,-110.085,-2.44,-110.212
1.396423,-108.529,-2.662,-111.635
1.396651,-108.529,-2.662,-111.635
1.45454,-107.65,-2.662,-111.635
1.599952,-107.747,-2.559,-111.84
1.600186,-107.747,-2.559,-111.84
1.654394,-109.461,-2.559,-111.84
1.802204,-109.527,-2.705,-111.312
1.802446,-109.527,-2.705,-111.312
1.852419,-107.931,-2.705,-111.312
2.004427,-108.876,-2.595,-110.317
2.0047,-108.876,-2.595,-110.317
2.050527,-107.694,-2.595,-110.317
2.20604,-109.546,-2.297,-108.672
2.206266,-109.546,-2.297,-108.672
2.249431,-108.181,-2.297,-108.672
2.409037,-109.127,-2.229,-107.594
2.409274,-109.127,-2.229,-107.594
2.448165,-109.796,-2.229,-107.594
2.610637,-110.555,-2.342,-106.324
2.610946,-110.555,-2.342,-106.324
2.646809,-108.358,-2.342,-106.324
2.813786,-109.639,-2.314,-104.703
2.813999,-109.639,-2.314,-104.703
2.845519,-108.695,-2.314,-104.703
3.016577,-110.424,-1.991,-103.347
3.016853,-110.424,-1.991,-103.347
3.045053,-107.728,-1.991,-103.347
3.218707,-108.862,-1.935,-101.931
3.218947,-108.862,-1.935,-101.931
3.243131,-108.463,-1.935,-101.931
3.422603,-109.109,-2.11,-100.513
