time,Azimuth,Pitch,Roll
0.050897,-108.486,0.412,-104.127
0.051302,-108.486,0.412,-104.127
0.146438,-107.913,0.412,-104.127
0.253438,-108.42,0.032,-102.288
0.253638,-108.42,0.032,-102.288
0.344569,-107.181,0.032,-102.288
0.455755,-107.9,0.316,-102.173
0.455923,-107.9,0.316,-102.173
0.543891,-108.665,0.316,-102.173
0.657809,-107.559,-0.091,-102.42
0.65802,-107.559,-0.091,-102.42
0.742674,-106.296,-0.091,-102.42
0.859627,-105.634,-0.411,-102.354
0.859797,-105.634,-0.411,-102.354
0.941274,-106.07,-0.411,-102.354
1.062305,-106.656,-0.45,-101.282
1.062518,-106.656,-0.45,-101.282
1.140012,-105.833,-0.45,-101.282
1.265352,-106.245,-0.335,-101.021
1.26559,-106.245,-0.335,-101.021
1.339336,-106.577,-0.335,-101.021
1.467958,-107.622,-0.422,-99.18
1.468378,-107.622,-0.422,-99.18
1.539474,-107.311,-0.422,-99.18
1.670724,-107.311,-0.422,-99.18
1.671414,-107.29,-0.101,-100.247
1.737444,-107.099,-0.101,-100.247
1.872365,-106.395,-0.313,-100.611
1.872648,-106.395,-0.313,-100.611
1.93666,-108.445,-0.313,-100.611
2.075809,-107.06,-0.59,-101.775
2.076141,-107.06,-0.59,-101.775
2.136362,-107.192,-0.59,-101.775
2.277651,-107.154,-0.511,-102.092
2.27794,-107.154,-0.511,-102.092
2.333563,-107.966,-0.511,-102.092
2.480189,-107.672,-0.488,-102.597
2.480516,-107.672,-0.488,-102.597
2.533613,-107.815,-0.488,-102.597
2.68258,-107.558,-0.33,-103.474
2.68295,-107.558,-0.33,-103.474
2.732734,-106.602,-0.33,-103.474
2.885188,-106.602,-0.33,-103.474
2.886011,-105.804,-0.482,-104.224
2.930584,-107.017,-0.482,-104.224
3.088021,-106.67,-0.51,-104.669
3.088455,-106.67,-0.51,-104.669
3.129384,-107.401,-0.51,-104.669
3.290335,-107.354,-0.524,-104.695
3.290636,-107.354,-0.524,-104.695
3.329238,-107.257,-0.524,-104.695
3.493183,-107.084,-0.5,-105.036
3.493548,-107.084,-0.5,-105.036
3.527069,-106.951,-0.5,-105.036
3.696337,-106.448,-0.696,-105.169
3.696692,-106.448,-0.696,-105.169
3.726067,-107.277,-0.696,-105.169
3.897161,-107.277,-0.696,-105.169
3.897913,-107.533,-0.614,-105.062
3.926072,-106.953,-0.614,-105.062
4.09898,-106.953,-0.614,-105.062
4.09973,-106.426,-0.776,-105.339
4.123522,-105.923,-0.776,-105.339
4.301457,-105.923,-0.776,-105.339
4.302373,-105.502,-1.027,-105.122
4.321868,-106.527,-1.027,-105.122
4.504782,-107.204,-0.713,-105.124
4.505236,-107.204,-0.713,-105.124
4.523371,-107.125,-0.713,-105.124
4.707086,-107.77,-0.762,-104.007
4.707449,-107.77,-0.762,-104.007
4.722169,-108.332,-0.762,-104.007
4.909422,-108.332,-0.762,-104.007
4.910154,-109.329,-1.041,-101.773
4.919091,-108.656,-1.041,-101.773
5.111158,-109.757,-0.702,-101.284
5.111625,-109.757,-0.702,-101.284
5.117304,-109.013,-0.702,-101.284
5.313419,-109.17,-0.581,-101.425
5.313755,-109.17,-0.581,-101.425
5.316195,-109.726,-0.581,-101.425
5.516463,-109.683,-0.527,-101.636
5.516816,-108.984,-0.527,-101.636
5.517099,-108.984,-0.527,-101.636
5.714828,-109.155,-0.527,-101.636
5.716376,-109.16,-0.499,-101.71
5.716663,-109.16,-0.499,-101.71
5.914756,-108.998,-0.499,-101.71
5.918887,-109.275,-0.463,-101.441
5.919195,-109.275,-0.463,-101.441
6.113526,-109.29,-0.463,-101.441
6.121251,-108.426,-0.573,-102.302
6.122323,-108.426,-0.573,-102.302
6.312289,-109.066,-0.573,-102.302
6.324651,-108.546,-0.677,-102.715
6.325033,-108.546,-0.677,-102.715
6.511171,-108.212,-0.677,-102.715
6.527216,-109.37,-0.485,-101.721
6.527535,-109.37,-0.485,-101.721
6.710711,-110.557,-0.485,-101.721
6.729182,-110.136,-0.289,-102.788
6.72952,-110.136,-0.289,-102.788
6.908964,-108.225,-0.289,-102.788
6.932114,-108.787,-0.36,-101.758
6.932447,-108.787,-0.36,-101.758
7.107468,-106.949,-0.36,-101.758
7.134928,-108.302,-0.229,-100.122
7.135263,-108.302,-0.229,-100.122
7.305909,-108.108,-0.229,-100.122
7.337397,-109.041,-0.235,-98.727
7.337716,-109.041,-0.235,-98.727
7.504614,-108.253,-0.235,-98.727
7.538804,-109.349,-0.178,-97.326
7.539133,-109.349,-0.178,-97.326
7.70323,-107.475,-0.178,-97.326
7.741195,-107.85,-0.252,-96.529
7.741512,-107.85,-0.252,-96.529
7.902252,-108.565,-0.252,-96.529
7.943703,-109.538,-0.158,-95.41
7.944052,-109.538,-0.158,-95.41
8.101864,-105.87,-0.158,-95.41
8.146755,-107.216,0.175,-94.357
8.147088,-107.216,0.175,-94.357
8.300076,-107.637,0.175,-94.357
8.348733,-107.637,0.175,-94.357
8.349362,-108.192,0.183,-93.569
8.498982,-107.224,0.183,-93.569
8.551886,-107.224,0.183,-93.569
8.552625,-108.175,0.366,-92.725
8.696833,-107.542,0.366,-92.725
8.754475,-108.19,0.446,-92.035
8.754808,-108.19,0.446,-92.035
8.896249,-107.05,0.446,-92.035
8.956479,-107.932,0.581,-91.161
8.956838,-107.932,0.581,-91.161
9.096239,-106.244,0.581,-91.161
9.158103,-106.244,0.581,-91.161
9.158774,-106.848,0.677,-90.539
9.29502,-107.02,0.677,-90.539
9.360714,-107.732,0.761,-89.758
9.361238,-107.732,0.761,-89.758
9.493546,-107.241,0.761,-89.758
9.562762,-107.669,0.608,-88.64
9.563228,-107.669,0.608,-88.64
9.69095,-106.416,0.608,-88.64
9.766418,-107.151,0.673,-87.749
9.766768,-107.151,0.673,-87.749
9.890713,-105.834,0.673,-87.749
9.967938,-105.888,0.487,-87.017
9.968313,-105.888,0.487,-87.017
10.08958,-106.082,0.487,-87.017
10.17104,-106.309,0.367,-86.254
10.171399,-106.309,0.367,-86.254
10.288595,-106.224,0.367,-86.254
10.372569,-106.224,0.367,-86.254
10.373329,-107.247,0.572,-85.345
10.48737,-105.478,0.572,-85.345
10.575924,-106.05,0.542,-84.301
10.576303,-106.05,0.542,-84.301
10.68717,-106.172,0.542,-84.301
10.778484,-106.456,0.372,-83.283
10.778897,-106.456,0.372,-83.283
10.885222,-105.165,0.372,-83.283
10.979749,-105.544,0.266,-82.25
10.980091,-105.544,0.266,-82.25
11.083772,-106.19,0.266,-82.25
11.183169,-106.718,0.278,-81.46
11.183556,-106.718,0.278,-81.46
11.282646,-105.787,0.278,-81.46
11.384852,-106.241,0.274,-80.694
11.385264,-106.241,0.274,-80.694
11.481143,-105.185,0.274,-80.694
11.588157,-105.992,0.376,-79.718
11.588588,-105.992,0.376,-79.718
11.680188,-105.27,0.376,-79.718
11.790806,-105.27,0.376,-79.718
11.791726,-105.846,0.435,-78.978
11.878569,-106.226,0.435,-78.978
11.992228,-106.226,0.435,-78.978
11.992965,-106.41,0.301,-78.234
12.077478,-104.995,0.301,-78.234
12.194436,-105.761,0.475,-77.541
12.194775,-105.761,0.475,-77.541
12.276525,-106.089,0.475,-77.541
12.396837,-106.212,0.319,-76.809
12.397207,-106.212,0.319,-76.809
12.475273,-105.622,0.319,-76.809
12.599615,-105.622,0.319,-76.809
12.600478,-106.558,0.489,-75.868
12.674281,-106.144,0.489,-75.868
12.802233,-107.063,0.653,-74.973
12.802591,-107.063,0.653,-74.973
12.872913,-105.47,0.653,-74.973
13.004512,-105.689,0.581,-74.354
13.004959,-105.689,0.581,-74.354
13.072053,-106.069,0.581,-74.354
13.207424,-106.069,0.581,-74.354
13.208354,-106.482,0.536,-73.543
13.271336,-106.984,0.536,-73.543
13.409214,-107.461,0.533,-72.791
13.410055,-107.461,0.533,-72.791
13.469711,-106.501,0.533,-72.791
13.611634,-106.501,0.533,-72.791
13.612399,-106.868,0.566,-72.327
13.66851,-106.384,0.566,-72.327
13.814428,-106.384,0.566,-72.327
13.815205,-106.862,0.59,-71.653
13.868161,-105.789,0.59,-71.653
14.017153,-105.789,0.59,-71.653
14.018101,-106.272,0.549,-70.745
14.06645,-106.648,0.549,-70.745
14.218284,-106.648,0.549,-70.745
14.219066,-106.382,0.352,-70.505
14.265447,-105.831,0.352,-70.505
14.420057,-105.831,0.352,-70.505
14.420758,-106.142,0.407,-70.182
14.463629,-104.768,0.407,-70.182
14.623909,-104.982,0.299,-69.414
14.624306,-104.982,0.299,-69.414
14.662342,-105.388,0.299,-69.414
14.825553,-105.512,0.217,-68.911
14.825893,-105.512,0.217,-68.911
14.86115,-106.205,0.217,-68.911
15.027872,-106.543,0.232,-68.411
15.028175,-106.543,0.232,-68.411
15.060443,-105.176,0.232,-68.411
15.230766,-105.176,0.232,-68.411
15.231751,-105.242,0.035,-67.576
15.259102,-105.835,0.035,-67.576
15.433034,-105.835,0.035,-67.576
15.433892,-106.65,0.193,-66.797
15.458464,-105.322,0.193,-66.797
15.634728,-105.322,0.193,-66.797
15.635412,-105.521,0.176,-66.397
15.656403,-105.645,0.176,-66.397
15.837288,-106.242,0.213,-65.539
15.837667,-106.242,0.213,-65.539
15.855923,-105.827,0.213,-65.539
16.039212,-105.827,0.213,-65.539
