time,Azimuth:,Pitch:,Roll:
0.045217,-108.66,0.809,-104.67
0.052463,-108.05,0.626,-104.892
0.052676,-108.05,0.626,-104.892
0.244743,-108.734,0.626,-104.892
0.254576,-108.856,0.391,-104.054
0.254733,-108.856,0.391,-104.054
0.445523,-107.656,0.391,-104.054
0.457426,-106.804,0.088,-104.254
0.457613,-106.804,0.088,-104.254
0.645839,-106.852,0.088,-104.254
0.66,-106.976,-0.004,-103.778
0.66017,-106.976,-0.004,-103.778
0.845877,-107.609,-0.004,-103.778
0.862615,-107.162,-0.242,-103.634
0.862818,-107.162,-0.242,-103.634
1.04607,-106.036,-0.242,-103.634
1.064592,-105.915,-0.373,-103.354
1.064753,-105.915,-0.373,-103.354
1.246767,-106.548,-0.373,-103.354
1.266709,-105.833,-0.501,-103.959
1.266919,-105.833,-0.501,-103.959
1.446191,-106.18,-0.501,-103.959
1.470194,-107.252,-0.211,-103.356
1.470552,-107.252,-0.211,-103.356
1.648798,-106.972,-0.211,-103.356
1.673447,-107.905,0,-102.729
1.673813,-107.905,0,-102.729
1.847696,-106.712,0,-102.729
1.875055,-106.992,-0.092,-102.018
1.875536,-106.992,-0.092,-102.018
2.048069,-105.436,-0.092,-102.018
2.079339,-106.673,0.221,-101.181
2.079703,-106.673,0.221,-101.181
2.247112,-105.649,0.221,-101.181
2.280751,-106.698,0.39,-100.205
2.281043,-106.698,0.39,-100.205
2.450455,-104.685,0.39,-100.205
2.483794,-105.265,0.506,-99.703
2.484136,-105.265,0.506,-99.703
2.647159,-105.996,0.506,-99.703
2.684841,-107.204,0.757,-98.791
2.685116,-107.204,0.757,-98.791
2.847239,-105.636,0.757,-98.791
2.888803,-105.374,0.653,-98.824
2.88916,-105.374,0.653,-98.824
3.048857,-105.869,0.653,-98.824
3.090434,-105.695,0.461,-98.424
3.090837,-105.695,0.461,-98.424
3.247184,-105.271,0.461,-98.424
3.291923,-105.271,0.461,-98.424
3.292721,-105.294,0.318,-97.87
3.44837,-105.537,0.318,-97.87
3.49621,-105.778,0.338,-97.556
3.496635,-105.778,0.338,-97.556
3.649355,-105.135,0.338,-97.556
3.698386,-105.135,0.338,-97.556
3.699512,-105.745,0.27,-96.331
3.848138,-106.57,0.27,-96.331
3.899736,-106.306,0.209,-96.521
3.900043,-106.306,0.209,-96.521
4.049533,-104.418,0.209,-96.521
4.102568,-105.23,0.241,-95.31
4.103004,-105.23,0.241,-95.31
4.248152,-104.873,0.241,-95.31
4.304849,-105.494,0.253,-94.348
4.305136,-105.494,0.253,-94.348
4.447897,-105.58,0.253,-94.348
4.507236,-105.241,0.049,-94.142
4.507542,-105.241,0.049,-94.142
4.647885,-105.321,0.049,-94.142
4.709517,-105.685,-0.025,-93.306
4.709886,-105.685,-0.025,-93.306
4.849425,-104.749,-0.025,-93.306
4.912301,-104.749,-0.025,-93.306
4.913126,-105.389,0.084,-92.683
5.0516,-106.418,0.084,-92.683
5.114024,-106.327,-0.084,-92.249
5.114372,-106.327,-0.084,-92.249
5.248264,-105.006,-0.084,-92.249
5.317121,-105.006,-0.084,-92.249
5.31798,-105.344,-0.12,-91.575
5.449713,-106.182,-0.12,-91.575
5.519657,-106.558,-0.141,-90.938
5.520003,-106.558,-0.141,-90.938
5.650336,-106.609,-0.141,-90.938
5.722271,-106.868,-0.28,-90.091
5.722636,-106.868,-0.28,-90.091
5.849891,-106.986,-0.28,-90.091
5.925074,-106.986,-0.28,-90.091
5.925968,-107.085,-0.387,-89.592
6.048498,-106.582,-0.387,-89.592
6.126113,-107.099,-0.313,-89.076
6.126275,-107.099,-0.313,-89.076
6.247936,-108.289,-0.313,-89.076
6.328421,-108.61,-0.362,-88.522
6.328688,-108.61,-0.362,-88.522
6.447534,-106.998,-0.362,-88.522
6.52997,-107.615,-0.299,-87.919
6.530118,-107.615,-0.299,-87.919
6.647752,-107.621,-0.299,-87.919
6.7333,-107.612,-0.425,-87.53
6.734081,-107.612,-0.425,-87.53
6.848862,-107.437,-0.425,-87.53
6.93509,-108.376,-0.298,-86.777
6.93527,-108.376,-0.298,-86.777
7.047929,-108.188,-0.298,-86.777
7.13809,-108.523,-0.32,-86.307
7.138471,-108.523,-0.32,-86.307
7.248456,-108.016,-0.32,-86.307
7.340683,-108.086,-0.419,-85.914
7.34097,-108.086,-0.419,-85.914
7.448396,-107.358,-0.419,-85.914
7.54311,-107.801,-0.465,-85.176
7.543364,-107.801,-0.465,-85.176
7.648422,-107.177,-0.465,-85.176
7.745455,-107.302,-0.606,-84.55
7.745787,-107.302,-0.606,-84.55
7.848101,-107.264,-0.606,-84.55
7.947337,-107.538,-0.724,-83.803
7.947476,-107.538,-0.724,-83.803
8.048455,-108.646,-0.724,-83.803
8.149558,-108.998,-0.798,-83.159
8.149718,-108.998,-0.798,-83.159
8.248576,-107.747,-0.798,-83.159
8.352141,-107.993,-0.938,-82.402
8.352348,-107.993,-0.938,-82.402
8.448557,-107.668,-0.938,-82.402
8.555151,-107.177,-1.272,-81.961
8.555479,-107.177,-1.272,-81.961
8.6486,-107.974,-1.272,-81.961
8.757125,-108.929,-1.142,-81.184
8.757298,-108.929,-1.142,-81.184
8.84869,-108.897,-1.142,-81.184
8.9603,-109.018,-1.276,-80.641
8.960576,-109.018,-1.276,-80.641
9.048785,-107.545,-1.276,-80.641
9.162602,-107.795,-1.345,-80.096
9.162892,-107.795,-1.345,-80.096
9.248866,-107.857,-1.345,-80.096
9.365006,-107.603,-1.542,-79.787
9.365268,-107.603,-1.542,-79.787
9.449116,-107.169,-1.542,-79.787
9.567246,-107.582,-1.592,-79.059
9.567505,-107.582,-1.592,-79.059
9.649216,-107.325,-1.592,-79.059
9.76997,-107.096,-1.779,-78.751
9.770251,-107.096,-1.779,-78.751
9.850636,-107.067,-1.779,-78.751
9.971739,-107.787,-1.686,-78.073
9.972511,-107.787,-1.686,-78.073
10.049036,-107.634,-1.686,-78.073
10.174859,-108.262,-1.695,-77.238
10.175095,-108.262,-1.695,-77.238
10.249764,-107.471,-1.695,-77.238
10.37754,-107.687,-1.697,-76.944
10.377687,-107.687,-1.697,-76.944
10.4493,-106.958,-1.697,-76.944
10.580121,-107.985,-1.499,-76.189
10.58038,-107.985,-1.499,-76.189
10.650014,-107.623,-1.499,-76.189
10.78262,-108.249,-1.51,-75.32
10.782821,-108.249,-1.51,-75.32
10.849664,-107.312,-1.51,-75.32
10.985381,-107.437,-1.567,-74.962
10.985685,-107.437,-1.567,-74.962
11.04995,-108.041,-1.567,-74.962
11.187032,-108.332,-1.531,-74.685
11.187271,-108.332,-1.531,-74.685
11.249846,-107.146,-1.531,-74.685
11.389909,-106.762,-1.679,-74.717
11.390056,-106.762,-1.679,-74.717
11.450222,-107.881,-1.679,-74.717
11.592508,-107.819,-1.709,-74.708
11.592825,-107.819,-1.709,-74.708
11.65089,-105.893,-1.709,-74.708
11.795824,-105.859,-1.719,-74.721
11.796252,-105.859,-1.719,-74.721
11.850906,-106.753,-1.719,-74.721
11.998104,-107.082,-1.571,-74.741
11.998453,-107.082,-1.571,-74.741
12.050734,-107.508,-1.571,-74.741
12.200448,-107.088,-1.727,-74.822
12.200806,-107.088,-1.727,-74.822
12.253964,-107.457,-1.727,-74.822
12.403733,-107.661,-1.727,-74.527
12.404096,-107.661,-1.727,-74.527
12.451359,-105.947,-1.727,-74.527
12.603904,-106.157,-1.634,-74.541
12.604226,-106.157,-1.634,-74.541
12.651433,-105.947,-1.634,-74.541
12.807021,-106.372,-1.543,-74.202
12.807326,-106.372,-1.543,-74.202
12.851838,-106.713,-1.543,-74.202
13.008417,-106.545,-1.681,-73.966
13.008683,-106.545,-1.681,-73.966
13.051143,-106.255,-1.681,-73.966
13.21106,-106.578,-1.702,-73.414
13.212169,-106.578,-1.702,-73.414
13.25185,-106.3,-1.702,-73.414
13.414298,-106.514,-1.778,-72.821
13.414663,-106.514,-1.778,-72.821
13.451467,-106.035,-1.778,-72.821
13.617064,-106.174,-1.809,-72.496
13.617417,-106.174,-1.809,-72.496
13.652572,-106.087,-1.809,-72.496
13.821461,-105.969,-1.979,-72.058
13.821795,-105.969,-1.979,-72.058
13.850281,-106.19,-1.979,-72.058
14.024454,-106.42,-2.029,-71.524
14.024849,-106.42,-2.029,-71.524
14.051504,-105,-2.029,-71.524
14.228985,-105.554,-1.964,-70.879
14.229412,-105.554,-1.964,-70.879
14.252763,-105.388,-1.964,-70.879
14.427181,-105.935,-1.88,-70.297
14.427431,-105.935,-1.88,-70.297
14.451039,-107.325,-1.88,-70.297
14.631548,-107.04,-2.073,-70.056
14.631854,-107.04,-2.073,-70.056
14.653868,-106.883,-2.073,-70.056
14.830857,-107.515,-2.018,-69.338
14.831039,-107.515,-2.018,-69.338
14.85127,-106.622,-2.018,-69.338
15.034418,-106.622,-2.018,-69.338
15.035134,-106.61,-2.095,-69.084
15.05372,-106.317,-2.095,-69.084
15.236335,-107.327,-1.854,-68.379
15.236625,-107.327,-1.854,-68.379
15.251889,-106.67,-1.854,-68.379
15.441233,-106.91,-1.961,-67.64
15.441602,-106.91,-1.961,-67.64
15.451582,-107.112,-1.961,-67.64
15.646773,-106.945,-2.127,-67.324
15.647141,-106.945,-2.127,-67.324
15.653168,-106.701,-2.127,-67.324
15.846605,-107.339,-2.087,-66.47
15.846957,-107.339,-2.087,-66.47
15.853571,-106.778,-2.087,-66.47
16.045748,-106.865,-2.217,-65.875
