time,xaxis,yaxis,zaxis,State
1.260047,0.21,0.13,0.03,
1.262586,0.2,0.13,0.03,
1.265323,0.19,0.14,0.03,
1.268342,0.17,0.14,0.04,
1.270962,0.15,0.14,0.04,
1.27341,0.14,0.14,0.04,
1.27586,0.12,0.14,0.04,
1.278001,0.1,0.13,0.04,
1.28041,0.08,0.12,0.04,
1.282849,0.06,0.11,0.03,
1.285716,0.04,0.1,0.03,
1.28869,0.01,0.1,0.03,
1.291137,-0.02,0.09,0.03,
1.293687,-0.05,0.09,0.03,
1.296191,-0.08,0.08,0.03,
1.297977,-0.11,0.07,0.03,
1.300532,-0.13,0.05,0.03,
1.303407,-0.15,0.04,0.03,
1.306581,-0.18,0.03,0.03,
1.308755,-0.2,0.02,0.03,
1.311276,-0.21,0,0.04,
1.313806,-0.23,-0.01,0.03,
1.316355,-0.24,-0.02,0.03,
1.318298,-0.25,-0.03,0.03,
1.320861,-0.26,-0.05,0.03,
1.323658,-0.26,-0.05,0.02,
1.325835,-0.26,-0.05,0.02,
1.329001,-0.27,-0.06,0.02,
1.331863,-0.26,-0.07,0.02,
1.334147,-0.26,-0.07,0.02,
1.336671,-0.25,-0.07,0.01,
1.338604,-0.23,-0.07,0.01,
1.341064,-0.21,-0.06,0.01,
1.343878,-0.2,-0.05,0.01,
1.346893,-0.18,-0.04,0.01,
1.349254,-0.16,-0.03,0,
1.351831,-0.15,-0.02,0,
1.354366,-0.13,-0.02,-0.01,
1.356936,-0.12,0,-0.01,
1.358726,-0.1,0.01,-0.02,
1.361235,-0.08,0.02,-0.02,
1.365643,-0.08,0.04,-0.03,
1.366392,-0.08,0.05,-0.03,
1.3697,-0.07,0.07,-0.03,
1.372099,-0.08,0.08,-0.03,
1.374545,-0.08,0.08,-0.03,
1.377057,-0.08,0.08,-0.03,
1.378938,-0.08,0.08,-0.03,
1.382396,-0.08,0.08,-0.03,
1.384659,-0.07,0.07,-0.03,
1.38753,-0.06,0.07,-0.03,
1.389807,-0.04,0.05,-0.03,
1.392233,-0.02,0.03,-0.02,
1.394991,0.01,0.02,-0.02,
1.397527,0.04,0,-0.01,
1.399144,0.06,-0.01,0,
1.401936,0.09,-0.02,0.01,
1.405001,0.13,-0.02,0.02,
1.407002,0.16,-0.02,0.03,
1.409979,0.19,-0.01,0.04,
1.412444,0.22,0,0.04,
1.415057,0.24,0.02,0.04,
1.417116,0.26,0.03,0.04,
1.419678,0.26,0.05,0.04,
1.421968,0.26,0.06,0.04,
1.424509,0.25,0.07,0.04,
1.427762,0.24,0.08,0.03,
1.430148,0.22,0.08,0.02,
1.432762,0.2,0.07,0.02,
1.435356,0.18,0.07,0.01,
1.437308,0.16,0.05,0.01,
1.439669,0.13,0.05,0.01,
1.4422,0.11,0.05,0,
1.445446,0.08,0.03,-0.01,
1.448178,0.06,0.02,-0.01,
1.450524,0.04,0.01,-0.02,
1.453013,0.01,0,-0.03,
1.455487,-0.01,-0.01,-0.03,
1.457605,-0.03,-0.03,-0.03,
1.459909,-0.05,-0.04,-0.03,
1.462769,-0.07,-0.03,-0.03,
1.465345,-0.09,-0.03,-0.02,
1.468376,-0.1,-0.03,-0.02,
1.470737,-0.11,-0.03,-0.02,
1.47334,-0.12,-0.01,-0.01,
1.475744,-0.13,0,-0.01,
1.477816,-0.13,0.01,-0.01,
1.480205,-0.13,0.01,0,
1.482815,-0.12,0.01,0,
1.485498,-0.12,0.01,0,
1.488582,-0.11,0.01,0,
1.490933,-0.09,0.01,0.01,
1.493471,-0.08,0.02,0.01,
1.497136,-0.07,0.02,0.02,
1.497927,-0.05,0.03,0.02,
1.500623,-0.03,0.04,0.02,
1.503059,-0.01,0.04,0.03,
1.505972,0.02,0.06,0.03,
1.5089,0.04,0.07,0.04,
1.51113,0.06,0.07,0.04,
1.513726,0.08,0.08,0.04,
1.516336,0.11,0.09,0.05,
1.518132,0.13,0.1,0.05,
1.520717,0.15,0.11,0.05,
1.52354,0.17,0.11,0.06,
1.525846,0.19,0.12,0.06,
1.52907,0.21,0.13,0.06,
1.531417,0.22,0.14,0.06,
1.534052,0.23,0.14,0.07,
1.5365,0.24,0.14,0.06,
1.538394,0.24,0.13,0.06,
1.540903,0.24,0.11,0.06,
1.543782,0.24,0.1,0.06,
1.546804,0.22,0.1,0.06,
1.549381,0.19,0.1,0.06,
1.551654,0.15,0.09,0.05,
1.554117,0.11,0.09,0.05,
1.556653,0.07,0.08,0.04,
1.55868,0.03,0.07,0.04,
