time,xaxis,yaxis,zaxis,State
6.029721,-0.01,-0.01,0.02,
6.032223,-0.01,0,0.01,
6.034624,-0.02,-0.01,0.01,
6.037368,-0.03,-0.01,0.01,
6.039192,-0.04,-0.02,0.01,
6.041776,-0.05,-0.02,0.01,
6.045939,-0.06,-0.02,0.01,
6.046872,-0.06,-0.03,0.01,
6.050153,-0.06,-0.04,0.02,
6.052564,-0.07,-0.04,0.02,
6.054991,-0.07,-0.04,0.02,
6.057542,-0.07,-0.03,0.02,
6.059574,-0.06,-0.03,0.02,
6.062199,-0.05,-0.02,0.02,
6.064784,-0.05,-0.02,0.02,
6.06771,-0.04,-0.01,0.01,
6.070192,-0.03,0,0.01,
6.072708,-0.02,0.01,0,
6.076008,-0.02,0.01,0,
6.077319,-0.01,0.02,-0.01,
6.079791,0,0.02,0,
6.082439,0,0.04,-0.01,
6.084994,0.01,0.04,-0.01,
6.088356,0.01,0.04,-0.01,
6.090762,0.02,0.05,-0.01,
6.093157,0.02,0.05,-0.02,
6.095078,0.03,0.05,-0.02,
6.097481,0.03,0.05,-0.02,
6.100285,0.03,0.05,-0.02,
6.102486,0.02,0.04,-0.02,
6.10599,0.03,0.03,-0.02,
6.111581,0.02,0.03,-0.03,
6.112007,0.02,0.02,-0.02,
6.11348,0.02,0.02,-0.02,
6.115834,0.02,0.02,-0.01,
6.1179,0.01,0.01,-0.01,
6.120368,0.01,0.01,-0.01,
6.122833,0,0,0,
6.125687,0,0,0,
6.128441,-0.01,-0.01,0,
6.131052,-0.02,-0.02,0,
6.1332,-0.03,-0.03,0.01,
6.135809,-0.04,-0.04,0.01,
6.137941,-0.04,-0.05,0.01,
6.140244,-0.04,-0.05,0.02,
6.14299,-0.04,-0.05,0.02,
6.145372,-0.04,-0.06,0.02,
6.148513,-0.03,-0.06,0.02,
6.151008,-0.02,-0.07,0.02,
6.153534,-0.02,-0.07,0.02,
6.156027,0,-0.07,0.02,
6.158112,0.01,-0.07,0.01,
6.160507,0.02,-0.06,0.01,
6.16369,0.03,-0.06,0,
6.165715,0.04,-0.05,0,
6.168834,0.04,-0.04,-0.01,
6.171427,0.04,-0.03,-0.01,
6.174029,0.04,-0.02,-0.01,
6.176595,0.05,-0.01,-0.02,
6.178429,0.05,-0.01,-0.02,
6.180914,0.04,0,-0.02,
6.183888,0.04,0,-0.03,
6.186884,0.04,0,-0.03,
6.189172,0.03,0,-0.03,
6.191655,0.03,0,-0.03,
6.194236,0.03,0,-0.03,
6.196777,0.02,0,-0.03,
6.198591,0.01,-0.01,-0.03,
6.201273,0.01,0,-0.03,
6.205579,0.01,-0.01,-0.03,
6.206917,0.01,0,-0.02,
6.20946,0.01,0,-0.02,
6.212005,0.02,0.01,-0.02,
6.214576,0.03,0.02,-0.02,
6.217158,0.03,0.03,-0.02,
6.218905,0.04,0.05,-0.01,
6.221403,0.05,0.05,-0.01,
6.224359,0.05,0.05,-0.01,
6.227421,0.05,0.05,-0.01,
6.230119,0.05,0.05,-0.01,
6.231733,0.04,0.04,-0.01,
6.234813,0.04,0.03,-0.01,
6.237374,0.04,0.02,-0.01,
6.243353,0.04,0.01,-0.01,
6.243842,0.05,-0.01,-0.01,
6.246935,0.05,-0.02,-0.01,
6.247268,0.06,-0.03,0,
6.250007,0.07,-0.04,0,
6.252571,0.09,-0.06,0,
6.256246,0.11,-0.06,0.01,
6.257402,0.12,-0.06,0.01,
6.259288,0.12,-0.05,0.01,
6.261837,0.13,-0.04,0,
6.264992,0.13,-0.04,0,
6.267624,0.13,-0.03,-0.01,
6.270105,0.12,-0.03,-0.01,
6.272602,0.11,-0.02,-0.01,
6.275283,0.09,-0.02,-0.01,
6.277555,0.07,-0.02,-0.01,
6.279901,0.04,-0.01,-0.02,
6.282162,0.02,-0.02,-0.01,
6.286039,-0.01,-0.02,-0.01,
6.28717,-0.03,-0.02,-0.01,
6.290492,-0.06,-0.02,-0.01,
6.293337,-0.08,-0.03,-0.01,
6.295752,-0.09,-0.05,-0.01,
6.297377,-0.1,-0.06,0,
6.29988,-0.1,-0.08,0,
6.302416,-0.1,-0.09,0,
6.305728,-0.1,-0.1,0,
6.308854,-0.09,-0.11,0,
6.310899,-0.08,-0.11,0,
6.313231,-0.07,-0.1,0,
6.315769,-0.06,-0.1,0,
6.317831,-0.05,-0.09,0,
6.320045,-0.04,-0.08,0,
6.322628,-0.03,-0.08,0,
6.32656,-0.03,-0.07,0,
6.327818,-0.02,-0.06,0,
6.330388,-0.01,-0.06,0,
6.333451,0,-0.05,-0.01,
6.335939,0,-0.04,-0.01,
6.341616,0.01,-0.03,-0.02,
6.342083,0.01,-0.02,-0.02,
6.343015,0.01,-0.02,-0.02,
6.345547,0.01,-0.01,-0.02,
6.348508,0.01,0,-0.02,
6.351088,0.01,0,-0.02,
6.35425,0.01,0.02,-0.02,
6.356111,0.01,0.03,-0.02,
6.358151,0.01,0.04,-0.02,
6.360541,0,0.05,-0.02,
6.36315,0,0.06,-0.02,
6.366208,0,0.07,-0.02,
6.368938,0,0.07,-0.02,
6.37132,0,0.08,-0.02,
6.373976,-0.01,0.08,-0.01,
6.376709,-0.01,0.07,-0.01,
6.378505,0,0.07,-0.01,
6.380772,0,0.07,0,
6.38368,0,0.07,0,
6.387335,0.01,0.06,0.01,
6.389086,0.01,0.05,0.02,
6.391737,0.02,0.04,0.02,
6.394293,0.02,0.03,0.02,
6.396668,0.02,0.02,0.03,
6.39853,0.03,0.02,0.04,
6.40101,0.03,0.01,0.04,
6.404084,0.04,0,0.05,
6.406322,0.05,0,0.05,
6.409352,0.05,0,0.05,
6.411797,0.05,0,0.07,
6.414386,0.06,0,0.06,
6.416998,0.06,-0.01,0.06,
6.41977,0.05,-0.01,0.06,
6.421251,0.05,-0.01,0.06,
6.424078,0.04,-0.01,0.05,
6.427572,0.03,0,0.05,
6.428863,0.03,0,0.04,
6.432054,0.02,0.01,0.04,
6.434573,0.01,0.01,0.04,
6.437106,-0.01,0.01,0.03,
6.43912,-0.01,0.01,0.03,
6.441746,-0.02,0.01,0.02,
6.446691,-0.03,0.01,0.02,
6.446883,-0.03,0.01,0.02,
6.450123,-0.04,0.02,0.01,
6.452295,-0.04,0.03,0.01,
6.454924,-0.04,0.03,0.01,
6.457611,-0.04,0.04,0.01,
6.459304,-0.03,0.05,0.01,
6.461736,-0.03,0.06,0.01,
6.465048,-0.02,0.07,0.01,
6.468714,-0.02,0.07,0,
6.46981,-0.01,0.08,0.01,
6.472606,0,0.09,0.01,
6.475094,0,0.1,0,
6.477645,0.01,0.1,0,
6.479871,0.01,0.11,0,
6.482048,0.02,0.1,0,
6.486337,0.02,0.1,0,
6.48718,0.03,0.09,0,
6.490415,0.03,0.08,0,
6.493142,0.04,0.06,-0.01,
6.495626,0.05,0.04,-0.01,
6.497497,0.05,0.02,0,
6.499733,0.05,0.01,0.02,
6.505078,0.05,0.02,0.02,
6.505485,0.04,0.01,0.03,
6.508297,0.03,0.01,0.03,
6.510446,0.03,0,0.04,
6.513252,0.02,0,0.03,
6.515687,0.01,-0.02,0.03,
6.518118,0,-0.04,0.03,
6.519965,-0.02,-0.05,0.02,
6.522502,-0.03,-0.07,0.03,
6.525594,-0.05,-0.08,0.02,
6.528909,-0.06,-0.08,0.02,
6.530849,-0.08,-0.08,0.02,
6.534219,-0.09,-0.08,0.02,
6.53585,-0.1,-0.08,0.02,
6.53789,-0.11,-0.08,0.01,
6.540337,-0.11,-0.07,0,
6.542819,-0.12,-0.07,0,
6.5455,-0.12,-0.06,-0.01,
6.548531,-0.12,-0.05,-0.01,
6.550858,-0.11,-0.05,-0.01,
6.553588,-0.11,-0.05,-0.01,
6.556156,-0.1,-0.04,-0.02,
6.557892,-0.09,-0.04,-0.02,
6.560366,-0.08,-0.03,-0.02,
6.563084,-0.07,-0.01,-0.02,
6.565767,-0.06,-0.01,-0.02,
6.568917,-0.05,0,-0.02,
6.571089,-0.04,0,-0.02,
6.573825,-0.03,-0.01,-0.02,
6.576251,-0.01,-0.01,-0.02,
6.578256,0,-0.02,-0.01,
6.580719,0.01,-0.02,-0.01,
6.586863,0.03,-0.02,0,
6.587289,0.04,-0.02,0,
6.589244,0.05,-0.03,0.01,
6.591508,0.07,-0.02,0.01,
6.594507,0.08,-0.03,0.01,
6.595788,0.09,-0.03,0.01,
6.59832,0.1,-0.03,0.01,
6.600991,0.12,-0.03,0.01,
6.60397,0.12,-0.03,0.01,
6.606317,0.13,-0.03,0.01,
6.609323,0.14,-0.03,0,
6.611546,0.15,-0.01,0,
6.614068,0.15,0,0,
6.616658,0.15,0.02,-0.01,
6.618604,0.15,0.03,-0.01,
6.621177,0.15,0.04,-0.02,
6.623893,0.15,0.05,-0.02,
6.626657,0.14,0.06,-0.03,
6.629588,0.13,0.07,-0.03,
6.63242,0.11,0.08,-0.04,
6.634548,0.09,0.08,-0.04,
6.637106,0.07,0.08,-0.04,
6.638826,0.05,0.08,-0.04,
6.641314,0.03,0.08,-0.05,
6.646366,0.01,0.07,-0.04,
6.646572,-0.01,0.06,-0.04,
6.649859,-0.02,0.04,-0.04,
6.652215,-0.04,0.03,-0.03,
6.654723,-0.05,0.02,-0.03,
6.657585,-0.05,0.01,-0.02,
6.659132,-0.05,0.01,-0.01,
6.661537,-0.05,0,-0.01,
6.664958,-0.05,0.01,0,
6.667331,-0.04,0,0.01,
6.669854,-0.04,0,0.01,
6.672445,-0.04,-0.01,0.02,
6.674957,-0.04,-0.02,0.02,
6.67744,-0.04,-0.02,0.02,
6.679259,-0.03,-0.02,0.02,
6.681895,-0.03,-0.02,0.02,
6.685821,-0.03,-0.01,0.03,
6.687026,-0.02,0,0.03,
6.69034,-0.01,0,0.03,
6.692772,0,0,0.03,
6.695153,0.01,0,0.03,
6.701524,0.02,0,0.03,
6.702001,0.03,-0.01,0.03,
6.702199,0.04,0,0.02,
6.705145,0.04,0,0.02,
6.707908,0.04,0,0.02,
6.710515,0.03,0,0.02,
6.715122,0.03,0,0.02,
6.715516,0.02,0,0.02,
6.717339,0.02,0,0.02,
6.719814,0.02,0,0.02,
6.722415,0.02,0,0.02,
6.725564,0.02,0,0.01,
6.728897,0.02,0,0.01,
6.730967,0.01,0,0,
6.73315,0,0,0,
6.73598,-0.01,0,-0.01,
6.737831,-0.02,0,-0.01,
6.740013,-0.02,0,-0.02,
6.742514,-0.03,-0.01,-0.02,
6.745555,-0.04,0,-0.02,
6.748494,-0.05,0,-0.03,
6.751223,-0.05,0,-0.03,
6.75339,-0.06,0,-0.03,
6.755939,-0.06,0,-0.04,
6.758268,-0.07,-0.01,-0.04,
6.760276,-0.07,-0.01,-0.03,
6.762946,-0.08,-0.02,-0.04,
6.766695,-0.08,-0.02,-0.04,
6.767954,-0.08,-0.03,-0.04,
6.771307,-0.08,-0.03,-0.03,
6.773731,-0.08,-0.04,-0.03,
6.776597,-0.08,-0.04,-0.03,
6.778116,-0.07,-0.05,-0.03,
6.780521,-0.07,-0.05,-0.03,
6.783179,-0.06,-0.05,-0.03,
6.785795,-0.06,-0.06,-0.03,
6.788796,-0.05,-0.06,-0.02,
6.791531,-0.04,-0.06,-0.01,
6.793832,-0.03,-0.07,-0.01,
6.796423,-0.03,-0.07,0,
6.798405,-0.02,-0.07,0,
6.800782,-0.02,-0.08,0,
6.80361,-0.01,-0.07,0.01,
6.805749,0,-0.07,0.01,
6.809264,0,-0.07,0.02,
6.811988,0.01,-0.06,0.02,
6.813909,0.02,-0.06,0.02,
6.81662,0.02,-0.06,0.03,
6.818504,0.03,-0.05,0.03,
6.821289,0.04,-0.05,0.03,
6.823989,0.04,-0.04,0.04,
6.826539,0.04,-0.03,0.04,
6.829352,0.05,-0.03,0.04,
6.831981,0.05,-0.02,0.04,
6.834406,0.06,-0.01,0.04,
6.836998,0.06,0,0.04,
6.838698,0.07,0.01,0.04,
6.841231,0.07,0.01,0.04,
6.848289,0.08,0.01,0.04,
6.848692,0.09,0.02,0.03,
6.850059,0.09,0.03,0.03,
6.852502,0.1,0.04,0.02,
6.854553,0.1,0.05,0.01,
6.857284,0.1,0.07,0.01,
6.858919,0.09,0.08,0.01,
6.861479,0.08,0.09,0,
6.864167,0.08,0.1,-0.01,
6.867205,0.07,0.1,-0.02,
6.869732,0.05,0.11,-0.02,
6.872377,0.04,0.11,-0.02,
6.874841,0.03,0.1,-0.03,
6.877655,0.02,0.1,-0.03,
6.879154,0,0.09,-0.03,
6.881731,-0.01,0.08,-0.03,
6.885895,-0.02,0.08,-0.03,
6.886899,-0.03,0.06,-0.02,
6.88987,-0.04,0.05,-0.01,
6.892571,-0.05,0.04,0,
6.894891,-0.05,0.03,0.01,
6.897571,-0.06,0.03,0.03,
6.899679,-0.07,0.02,0.04,
6.901976,-0.08,0.01,0.05,
6.904893,-0.08,0,0.05,
6.907722,-0.09,-0.02,0.05,
6.910165,-0.09,-0.03,0.05,
6.912919,-0.09,-0.04,0.05,
6.915659,-0.1,-0.05,0.06,
6.917235,-0.09,-0.06,0.06,
6.919943,-0.1,-0.06,0.06,
6.922166,-0.1,-0.07,0.06,
6.926748,-0.1,-0.07,0.06,
6.927371,-0.1,-0.08,0.05,
6.930531,-0.09,-0.08,0.05,
6.933079,-0.09,-0.09,0.04,
6.935505,-0.09,-0.09,0.03,
6.93777,-0.09,-0.09,0.02,
6.939964,-0.08,-0.08,0.02,
6.943113,-0.07,-0.09,0.01,
6.945604,-0.06,-0.08,0.01,
6.948455,-0.05,-0.07,0,
6.951339,-0.05,-0.06,0,
6.953307,-0.04,-0.04,-0.01,
6.955687,-0.04,-0.03,-0.02,
6.957654,-0.04,-0.02,-0.02,
6.96007,-0.04,-0.01,-0.03,
6.962669,-0.04,0,-0.03,
6.965464,-0.04,0.01,-0.04,
6.968356,-0.04,0.02,-0.05,
6.970791,-0.04,0.02,-0.05,
6.973719,-0.03,0.02,-0.05,
6.978162,-0.03,0.02,-0.05,
6.978553,-0.02,0.02,-0.06,
6.980523,-0.01,0.02,-0.05,
6.983106,0,0.02,-0.05,
6.986005,0.01,0.01,-0.05,
6.988732,0.02,0.01,-0.05,
6.992113,0.03,0.01,-0.04,
6.993586,0.04,0.01,-0.04,
6.996433,0.06,0,-0.03,
6.998224,0.07,0,-0.03,
7.000607,0.09,0,-0.02,
7.003078,0.11,0,-0.02,
7.005755,0.13,0,-0.02,
7.008701,0.15,0,-0.01,
7.011286,0.16,0,-0.01,
7.01414,0.17,0,-0.02,
7.016469,0.18,0,-0.01,
7.018431,0.18,0,-0.01,
7.020685,0.18,0,-0.01,
7.023603,0.18,-0.01,-0.01,
7.026622,0.18,-0.02,-0.01,
7.028975,0.17,-0.03,-0.01,
7.03152,0.17,-0.03,-0.01,
7.034102,0.16,-0.03,-0.01,
7.036595,0.14,-0.04,-0.02,
7.038467,0.12,-0.04,-0.01,
7.040945,0.1,-0.05,-0.01,
7.043854,0.08,-0.06,-0.02,
7.046049,0.05,-0.06,-0.02,
7.04917,0.02,-0.07,-0.02,
7.051883,0,-0.07,-0.02,
7.054708,-0.03,-0.08,-0.02,
7.057301,-0.05,-0.08,-0.02,
7.058771,-0.07,-0.09,-0.03,
7.061323,-0.09,-0.09,-0.03,
7.064253,-0.1,-0.08,-0.03,
7.067114,-0.11,-0.07,-0.03,
7.069698,-0.13,-0.07,-0.03,
7.072121,-0.14,-0.06,-0.03,
7.074841,-0.14,-0.05,-0.03,
7.077488,-0.15,-0.05,-0.03,
7.079079,-0.15,-0.05,-0.03,
7.081565,-0.14,-0.04,-0.02,
7.086704,-0.14,-0.03,-0.02,
7.086882,-0.12,-0.02,-0.02,
7.093727,-0.11,-0.01,-0.02,
7.09417,-0.1,0,-0.02,
7.094608,-0.09,0.01,-0.01,
7.096991,-0.07,0.02,-0.01,
7.099295,-0.06,0.03,0,
7.101852,-0.04,0.04,0,
7.104785,-0.02,0.05,0.01,
7.107479,-0.01,0.05,0.01,
7.110199,0.02,0.06,0.02,
7.112547,0.03,0.07,0.02,
7.115223,0.05,0.07,0.03,
7.117795,0.07,0.08,0.03,
7.119432,0.08,0.08,0.03,
7.122816,0.1,0.08,0.04,
7.126206,0.11,0.09,0.04,
7.127328,0.12,0.09,0.05,
7.130335,0.13,0.08,0.05,
7.132797,0.14,0.08,0.05,
7.135474,0.15,0.09,0.06,
7.13738,0.16,0.09,0.05,
7.139981,0.16,0.09,0.05,
7.142373,0.16,0.09,0.05,
7.144954,0.15,0.09,0.05,
7.148204,0.15,0.09,0.05,
7.150461,0.14,0.09,0.05,
7.153201,0.12,0.08,0.04,
7.155867,0.11,0.07,0.04,
7.157704,0.09,0.06,0.03,
7.160006,0.07,0.05,0.03,
7.16252,0.04,0.04,0.02,
7.165599,0.01,0.03,0.02,
7.16844,-0.01,0.02,0.01,
7.171918,-0.03,0,0.01,
7.173414,-0.05,0,0.01,
7.176054,-0.07,-0.01,0,
7.178048,-0.08,-0.03,0,
7.180254,-0.08,-0.05,0,
7.182769,-0.09,-0.07,0,
7.185645,-0.1,-0.07,0,
7.188587,-0.1,-0.08,0,
7.191208,-0.1,-0.08,0,
7.193782,-0.1,-0.08,0,
7.196442,-0.09,-0.08,0,
7.198114,-0.09,-0.07,0,
7.20049,-0.08,-0.06,0,
7.203117,-0.07,-0.05,0,
7.205876,-0.05,-0.05,-0.01,
7.208871,-0.04,-0.04,-0.01,
7.211346,-0.03,-0.03,-0.02,
7.213816,-0.02,-0.03,-0.03,
7.217265,-0.01,-0.02,-0.03,
7.21813,0,-0.03,-0.04,
7.223741,0,-0.03,-0.04,
7.224151,0,-0.03,-0.04,
7.227047,0.01,-0.04,-0.04,
7.229293,0.01,-0.04,-0.05,
7.231464,0.01,-0.04,-0.05,
7.234045,0.01,-0.04,-0.05,
7.237472,0.01,-0.04,-0.05,
7.238405,0.01,-0.04,-0.05,
7.241112,0,-0.04,-0.05,
7.243902,0,-0.03,-0.05,
7.245946,-0.01,-0.03,-0.05,
7.249308,-0.01,-0.02,-0.06,
7.251727,-0.02,-0.02,-0.05,
7.254374,-0.03,-0.01,-0.05,
7.257086,-0.03,-0.01,-0.05,
7.258611,-0.04,-0.01,-0.05,
7.26116,-0.05,0,-0.04,
7.263916,-0.06,0,-0.04,
7.26721,-0.06,0,-0.04,
7.270426,-0.07,0,-0.04,
7.271811,-0.07,0,-0.03,
7.274507,-0.08,0,-0.02,
7.277257,-0.08,-0.01,-0.02,
7.278995,-0.09,-0.01,-0.01,
7.281425,-0.09,-0.01,0,
7.286378,-0.09,-0.02,0,
7.286797,-0.09,-0.01,0.01,
7.289906,-0.08,-0.01,0.02,
7.292528,-0.08,0,0.02,
7.295096,-0.07,0,0.03,
7.297549,-0.06,0.01,0.03,
7.299157,-0.05,0.02,0.04,
7.302678,-0.03,0.02,0.04,
7.304997,-0.02,0.02,0.04,
7.307489,0,0.03,0.04,
7.309985,0.02,0.04,0.04,
7.31247,0.03,0.05,0.04,
7.315181,0.05,0.06,0.05,
7.317799,0.06,0.07,0.05,
7.319388,0.08,0.08,0.05,
7.321991,0.1,0.09,0.05,
7.325065,0.1,0.09,0.05,
7.327046,0.12,0.09,0.05,
7.330318,0.13,0.1,0.06,
7.332586,0.14,0.1,0.06,
7.339123,0.15,0.11,0.06,
7.339619,0.16,0.11,0.06,
7.339813,0.16,0.11,0.05,
7.342393,0.17,0.1,0.05,
7.344939,0.17,0.09,0.05,
7.348208,0.16,0.09,0.04,
7.35034,0.15,0.08,0.03,
7.352973,0.13,0.08,0.02,
7.355588,0.13,0.08,0.02,
7.357765,0.12,0.07,0.02,
7.359889,0.11,0.08,0.02,
7.362302,0.09,0.09,0.03,
7.365522,0.07,0.1,0.03,
7.368514,0.05,0.1,0.02,
7.370512,0.03,0.1,0.01,
7.373636,0,0.09,-0.01,
7.376191,-0.02,0.06,-0.02,
7.377665,-0.03,0.04,-0.02,
7.380172,-0.05,0.03,-0.02,
7.382549,-0.06,0.02,-0.02,
7.385591,-0.07,0.01,0,
7.388445,-0.07,0,0.01,
7.390979,-0.08,0,0.01,
7.393591,-0.08,-0.01,0.02,
7.396179,-0.08,-0.01,0.02,
7.398305,-0.08,-0.01,0.02,
7.400692,-0.08,-0.02,0.02,
7.402976,-0.08,-0.01,0.02,
7.405985,-0.07,-0.01,0.02,
7.408924,-0.07,-0.01,0.02,
7.411154,-0.06,-0.02,0.02,
7.413791,-0.06,-0.02,0.02,
7.417304,-0.06,-0.02,0.02,
7.418455,-0.07,-0.02,0.03,
7.420607,-0.08,-0.02,0.03,
7.423096,-0.08,-0.02,0.02,
7.425689,-0.08,-0.02,0.03,
7.428911,-0.08,-0.03,0.03,
7.431453,-0.09,-0.03,0.03,
7.43406,-0.09,-0.04,0.03,
7.43663,-0.09,-0.05,0.02,
7.438419,-0.09,-0.06,0.02,
7.440839,-0.09,-0.06,0.02,
7.443788,-0.09,-0.07,0.02,
7.446422,-0.09,-0.07,0.02,
7.449934,-0.09,-0.07,0.02,
7.451734,-0.1,-0.06,0.01,
7.454219,-0.1,-0.05,0.01,
7.456754,-0.1,-0.03,0,
7.458772,-0.1,-0.02,0,
7.461071,-0.11,-0.02,-0.01,
7.463931,-0.11,-0.01,-0.02,
7.467017,-0.11,-0.01,-0.02,
7.469444,-0.11,-0.01,-0.03,
7.472002,-0.11,0,-0.03,
7.474532,-0.11,0,-0.04,
7.47695,-0.1,0,-0.05,
7.478926,-0.09,0.01,-0.05,
7.48126,-0.08,0.01,-0.05,
7.486301,-0.07,0.01,-0.05,
7.486769,-0.07,0.01,-0.05,
7.48991,-0.05,0,-0.05,
7.492144,-0.04,0,-0.05,
7.49462,-0.03,-0.01,-0.04,
7.49717,-0.01,-0.02,-0.04,
7.499776,0.01,-0.03,-0.04,
7.501563,0.03,-0.03,-0.03,
7.504265,0.05,-0.03,-0.03,
7.507117,0.08,-0.03,-0.02,
7.509663,0.1,-0.03,-0.02,
7.512206,0.12,-0.03,-0.01,
7.515329,0.13,-0.03,-0.01,
7.517177,0.15,-0.03,-0.01,
7.519255,0.16,-0.03,0,
7.521612,0.17,-0.03,0,
7.525378,0.18,-0.03,0,
7.526687,0.19,-0.04,-0.01,
7.52982,0.19,-0.04,0,
7.532371,0.19,-0.05,0,
7.534914,0.19,-0.05,-0.01,
7.53754,0.19,-0.05,-0.01,
7.539642,0.19,-0.05,-0.01,
7.541906,0.18,-0.05,-0.01,
7.544781,0.18,-0.05,-0.01,
7.547881,0.17,-0.06,-0.02,
7.550284,0.16,-0.06,-0.02,
7.552935,0.14,-0.06,-0.02,
7.555296,0.12,-0.06,-0.02,
7.557338,0.1,-0.06,-0.02,
7.559977,0.08,-0.06,-0.02,
7.562342,0.06,-0.05,-0.02,
7.565152,0.04,-0.05,-0.02,
7.568607,0.01,-0.04,-0.02,
7.570623,-0.01,-0.04,-0.02,
7.573136,-0.02,-0.05,-0.02,
7.575731,-0.04,-0.05,-0.03,
7.577892,-0.06,-0.05,-0.03,
7.584447,-0.07,-0.06,-0.03,
7.584886,-0.08,-0.06,-0.03,
7.585076,-0.09,-0.05,-0.03,
7.5888,-0.1,-0.05,-0.03,
7.59064,-0.1,-0.05,-0.03,
7.593194,-0.1,-0.05,-0.03,
7.595303,-0.1,-0.04,-0.03,
7.600735,-0.1,-0.04,-0.03,
7.6012,-0.1,-0.03,-0.03,
7.602639,-0.09,-0.02,-0.03,
7.605553,-0.08,-0.01,-0.03,
7.608469,-0.08,0,-0.02,
7.610938,-0.06,0,-0.02,
7.613553,-0.05,0.01,-0.01,
7.616121,-0.04,0.01,0,
7.618209,-0.03,0.02,0,
7.620625,-0.02,0.03,0.01,
7.623089,0,0.02,0.01,
7.625743,0.02,0.03,0.02,
7.629766,0.03,0.03,0.03,
7.631216,0.05,0.04,0.03,
7.633666,0.06,0.04,0.03,
7.636271,0.08,0.04,0.04,
7.638664,0.1,0.04,0.05,
7.640779,0.11,0.04,0.05,
7.643367,0.12,0.04,0.05,
7.646485,0.14,0.04,0.05,
7.649025,0.15,0.03,0.05,
7.651725,0.15,0.03,0.04,
7.654349,0.15,0.03,0.04,
7.656627,0.15,0.03,0.04,
7.658475,0.15,0.03,0.03,
7.661081,0.14,0.03,0.03,
7.663852,0.12,0.03,0.02,
7.666892,0.11,0.03,0.02,
7.669281,0.09,0.03,0.01,
7.671788,0.07,0.03,0.01,
7.674316,0.06,0.03,0.01,
7.676876,0.03,0.03,0,
7.678745,0.02,0.03,0,
7.68124,0,0.03,0,
7.685414,-0.01,0.03,0,
7.686415,-0.02,0.03,0,
7.689864,-0.03,0.04,0,
7.692291,-0.04,0.04,0,
7.6955,-0.04,0.05,0.01,
7.697095,-0.04,0.06,0.01,
7.698923,-0.04,0.07,0.01,
7.701798,-0.05,0.07,0.01,
7.704271,-0.05,0.07,0.01,
7.707553,-0.05,0.06,0.01,
7.709192,-0.05,0.06,0.01,
7.712261,-0.05,0.06,0.01,
7.714749,-0.05,0.06,0.01,
7.717382,-0.05,0.06,0.01,
7.719142,-0.05,0.06,0.01,
7.721687,-0.04,0.05,0.01,
7.726191,-0.03,0.04,0.01,
7.726754,-0.01,0.03,0.01,
7.730834,0,0.03,0.01,
7.732314,0.02,0.03,0.01,
7.734975,0.03,0.02,0.01,
7.737426,0.05,0.01,0,
7.739335,0.06,0.01,0.01,
7.741934,0.07,0,0.01,
7.744676,0.08,0,0.01,
7.747563,0.08,0,0.01,
7.750017,0.09,0,0.01,
7.752629,0.1,0,0.02,
7.755052,0.11,0,0.03,
7.757083,0.11,0.01,0.03,
7.75957,0.11,0.02,0.03,
7.76218,0.11,0.02,0.03,
7.764844,0.1,0.02,0.02,
7.767929,0.1,0.01,0.02,
7.770443,0.08,0,0.01,
7.773233,0.07,-0.02,0,
7.775602,0.05,-0.03,0,
7.777571,0.03,-0.04,0,
7.779805,0.01,-0.06,0,
7.782339,-0.01,-0.06,-0.01,
7.78539,-0.02,-0.06,-0.01,
7.788238,-0.04,-0.05,-0.01,
7.790947,-0.05,-0.05,-0.01,
7.793541,-0.05,-0.03,-0.01,
7.79569,-0.05,-0.03,-0.02,
7.797656,-0.04,-0.02,-0.01,
7.800156,-0.04,-0.01,-0.02,
7.802829,-0.03,-0.01,-0.02,
7.806509,-0.01,0,-0.02,
7.807651,0,0,-0.03,
7.810932,0,0.01,-0.04,
7.813425,0.01,0.02,-0.04,
7.816165,0.01,0.03,-0.04,
7.817901,0.01,0.04,-0.05,
7.820363,0.02,0.04,-0.05,
7.823204,0.01,0.04,-0.05,
7.82622,0.01,0.03,-0.05,
7.828892,0.01,0.03,-0.04,
7.831447,0.01,0.02,-0.04,
7.833698,0.01,0.01,-0.04,
7.836331,0,0.01,-0.03,
7.838337,0,-0.01,-0.03,
7.840603,-0.01,-0.02,-0.02,
7.843418,-0.01,-0.03,-0.02,
7.845751,-0.02,-0.04,-0.01,
7.848974,-0.02,-0.05,0,
7.851405,-0.02,-0.06,0,
7.854186,-0.01,-0.06,0.01,
7.856808,-0.01,-0.06,0.01,
7.862472,0,-0.06,0.02,
7.86294,0.01,-0.06,0.02,
7.863962,0.02,-0.06,0.03,
7.866689,0.03,-0.05,0.03,
7.869144,0.04,-0.05,0.03,
7.871504,0.04,-0.04,0.04,
7.875347,0.05,-0.04,0.04,
7.876736,0.05,-0.03,0.04,
7.878539,0.06,-0.01,0.03,
7.881004,0.06,0,0.03,
7.884404,0.06,0,0.03,
7.886149,0.05,0,0.02,
7.889386,0.05,0.01,0.03,
7.891954,0.05,0.02,0.02,
7.894547,0.05,0.02,0.02,
7.897005,0.05,0.03,0.02,
7.898925,0.06,0.04,0.02,
7.901282,0.06,0.04,0.01,
7.904471,0.06,0.03,0.01,
7.906657,0.07,0.03,0.01,
7.909436,0.07,0.03,0.01,
7.911952,0.08,0.04,0.01,
7.914525,0.08,0.04,0,
