time,Azimuth,Pitch,Roll
11.504568,21.856,-51.107,1.235
11.647174,21.548,-51.107,1.235
11.706288,21.374,-51.188,1.137
11.706527,21.374,-51.188,1.137
11.847313,21.571,-51.188,1.137
11.908105,21.367,-51.152,0.985
11.908395,21.367,-51.152,0.985
12.044756,21.707,-51.152,0.985
12.110035,21.711,-51.08,0.967
12.110214,21.711,-51.08,0.967
12.246181,21.028,-51.08,0.967
12.312371,20.986,-51.021,0.922
12.312575,20.986,-51.021,0.922
12.446351,21.07,-51.021,0.922
12.515595,21.086,-51.065,0.945
12.515879,21.086,-51.065,0.945
12.645092,21.407,-51.065,0.945
12.717932,21.435,-50.859,0.906
12.718156,21.435,-50.859,0.906
12.844538,21.138,-50.859,0.906
12.922981,21.242,-50.659,0.921
12.923381,21.242,-50.659,0.921
13.044316,21.763,-50.659,0.921
13.123373,21.687,-50.616,0.856
13.123599,21.687,-50.616,0.856
13.244453,21.258,-50.616,0.856
13.325898,21.32,-50.572,0.886
13.326143,21.32,-50.572,0.886
13.443672,21.095,-50.572,0.886
13.528757,21.318,-50.334,0.971
13.529054,21.318,-50.334,0.971
13.643646,21.571,-50.334,0.971
13.730639,21.561,-50.221,0.932
13.730906,21.561,-50.221,0.932
13.842619,21.603,-50.221,0.932
13.932852,21.755,-50.135,1.011
13.933214,21.755,-50.135,1.011
14.043002,21.826,-50.135,1.011
14.135144,21.772,-50.161,0.981
14.135405,21.772,-50.161,0.981
14.242533,21.779,-50.161,0.981
14.338372,21.678,-50.068,0.885
14.338745,21.678,-50.068,0.885
14.442318,21.508,-50.068,0.885
14.541803,21.339,-50.042,0.761
14.542455,21.339,-50.042,0.761
14.640857,21.616,-50.042,0.761
14.742524,21.689,-50.007,0.802
14.742772,21.689,-50.007,0.802
14.840532,21.595,-50.007,0.802
14.947066,21.683,-50.131,0.899
14.947372,21.683,-50.131,0.899
15.041239,21.622,-50.131,0.899
15.14645,21.549,-49.996,0.809
15.146664,21.549,-49.996,0.809
15.240988,21.388,-49.996,0.809
15.350198,21.386,-49.919,0.785
15.350469,21.386,-49.919,0.785
15.440729,21.381,-49.919,0.785
15.552743,21.45,-49.825,0.806
15.55311,21.45,-49.825,0.806
15.639714,21.145,-49.825,0.806
15.754865,21.534,-49.789,1.063
15.755112,21.534,-49.789,1.063
15.839622,21.732,-49.789,1.063
15.959643,21.598,-49.718,0.95
15.959909,21.598,-49.718,0.95
16.038247,21.694,-49.718,0.95
