time,Azimuth,Pitch,Roll
0.004753,-100.234,0.635,-98.613
0.010296,-101.681,0.635,-98.613
0.064349,-101.681,0.635,-98.613
0.206834,-101.968,0.401,-96.876
0.209048,-102.921,0.401,-96.876
0.266881,-102.921,0.401,-96.876
0.408531,-101.582,0.011,-97.966
0.408744,-103.813,0.011,-97.966
0.468948,-103.813,0.011,-97.966
0.607283,-104.214,0.011,-97.966
0.60985,-106.033,0.325,-95.874
0.671545,-106.033,0.325,-95.874
0.806062,-105.482,0.325,-95.874
0.812228,-102.664,-0.662,-97.149
0.874018,-102.664,-0.662,-97.149
1.0049,-104.036,-0.662,-97.149
1.014222,-104.543,-0.462,-97.004
1.075656,-104.543,-0.462,-97.004
1.203072,-105.371,-0.462,-97.004
1.216908,-105.064,-0.574,-97.119
1.2774,-105.064,-0.574,-97.119
1.401643,-107.324,-0.574,-97.119
1.419153,-105.147,-0.973,-98.828
1.480289,-105.147,-0.973,-98.828
1.600467,-106.821,-0.973,-98.828
1.621783,-105.248,-1.626,-98.928
1.683154,-105.248,-1.626,-98.928
1.799931,-105.179,-1.626,-98.928
1.825071,-105.122,-1.581,-99.202
1.886354,-105.122,-1.581,-99.202
1.998056,-104.052,-1.581,-99.202
2.027772,-104.708,-1.584,-97.932
2.088486,-104.708,-1.584,-97.932
2.197335,-104.204,-1.584,-97.932
2.230304,-105.69,-1.267,-96.496
2.291213,-105.69,-1.267,-96.496
2.396319,-104.365,-1.267,-96.496
2.432842,-105.272,-1.272,-94.76
2.493082,-105.272,-1.272,-94.76
2.594972,-103.714,-1.272,-94.76
2.634682,-104.359,-1.311,-93.343
2.695732,-104.359,-1.311,-93.343
2.794637,-103.96,-1.311,-93.343
2.838302,-104.733,-1.354,-91.659
2.897976,-104.733,-1.354,-91.659
2.992242,-104.68,-1.354,-91.659
3.039569,-105.398,-1.333,-90.435
3.101082,-105.398,-1.333,-90.435
3.19081,-104.588,-1.333,-90.435
3.243689,-105.134,-1.35,-89.374
